x,y,ap1,ap2,ap3
0,0,-47.2381,-64,-75
0,3,-56.4286,-70,-75
0,6,-55.381,-70,-75
0,9,-60.619,-62,-67
0,15,-65,-62,-67
0,18,-65,-59,-71
3,18,-69,-59,-71
3,15,-63.7143,-59,-71
3,12,-65.5238,-52,-72
3,9,-69.1905,-52,-72
3,6,-58.381,-52,-72
3,3,-62.5714,-52,-72
3,0,-51.5238,-52,-72
6,0,-48.1905,-73,-83
6,3,-57,-73,-83
9,0,-49.5714,-73,-83
9,3,-56.4762,-73,-83
12,0,-47.2381,-73,-83
12,3,-44.1905,-73,-83
15,0,-35.4286,-73,-83
15,3,-42,-75,-71
18,3,-35.8095,-64,-74
18,0,-36.5238,-64,-74
21,0,-45.1905,-64,-74
21,3,-45,-64,-74
24,0,-46.1905,-64,-74
24,3,-45.7143,-64,-74
27,3,-46.2857,-64,-74
27,0,-43,-64,-74
30,0,-54.5238,-64,-74
30,3,-46.4762,-64,-74
33,0,-45.5238,-64,-74
33,3,-60,-64,-74
36,3,-59.2857,-64,-74
36,0,-54.9048,-79,-65
